Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
Hotel Excellency,"₹ 2,364",Near Bhubaneshwar Train Station | 360 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1148 Off,,,,,"['Conference Room', 'Bar', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"2,364"
Hotel Vintage Villa,₹ 700,Laxmi Sagar | 8.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 968 Off,4, (Very Good),365,16%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bhubaneshwar,9/8/2021,11/8/2021,700
Hotel Pushpak,"₹ 1,671",Laxmi Sagar | 7.7 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 811 Off,4.1, (Very Good),1329,16%,"['Free Parking', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,"1,671"
Fortune Park Sishmo-Member ITC Hotel Group,"₹ 4,800",Bapuji Nagar | 7.3 km from Biju Patnaik International Airport,,4, (Very Good),1002,48%,"['Free Parking', 'Business Centre', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"4,800"
Ashiyana Inn,₹ 769,Ashok Nagar | 740 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 909 Off,4.1, (Very Good),1072,24%,"['Free Wi-Fi', 'Free Parking', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,769
Mayfair Convention,"₹ 5,711",Jayadev Vihar | 8.8 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1458 Off,4.2, (Very Good),185,9%,"['Business Centre', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,"5,711"
Mayfair Lagoon,"₹ 5,969",Jayadev Vihar | 8.9 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1524 Off,4.1, (Very Good),357,35%,"['Indoor Games', 'Outdoor Sports', 'Kids Play Area']",Bhubaneshwar,9/8/2021,11/8/2021,"5,969"
The Crown,"₹ 3,587",Nayapalli | 7.7 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1742 Off,4.5, (Excellent),319,6%,"['Free Parking', 'Business Centre', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"3,587"
Hotel Durene,"₹ 1,289",Laxmi Sagar | 9.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 801 Off,4.5, (Excellent),283,6%,"['Conference Room', 'Free Wi-Fi', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,"1,289"
Capital O 28034 Triple Tree Hotels & Resorts,"₹ 1,243",Laxmi Sagar,Exclusive Offer - HDFC Credit Card Users. Get INR 307 Off,4.2, (Very Good),632,16%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"1,243"
Padmaja Premium,"₹ 2,280",Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 1107 Off,3.8, (Good),140,28%,"['Business Centre', 'Conference Room', 'Bakery']",Bhubaneshwar,9/8/2021,11/8/2021,"2,280"
Pal Heights,"₹ 3,478",Jayadev Vihar | 8.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 888 Off,3.8, (Good),203,51%,"['Butler Services', 'Free Parking', 'Business Centre']",Bhubaneshwar,9/8/2021,11/8/2021,"3,478"
The New Marrion,"₹ 3,533",Kharabela Nagar | 8.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1715 Off,4.3, (Very Good),233,16%,"['Free Parking', 'Business Centre', 'Bakery']",Bhubaneshwar,9/8/2021,11/8/2021,"3,533"
Ratna Resort,₹ 635,Near Bhubaneshwar Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 162 Off,3.7, (Good),1121,6%,"['Nearby Beach', 'Tours and Treks', 'Free Parking']",Bhubaneshwar,9/8/2021,11/8/2021,635
Hotel Sandy's Tower,"₹ 4,177",Gajapati Nagar | 9.8 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 2029 Off,3.7, (Good),181,16%,"['Lounge', 'Free Parking', 'Business Centre']",Bhubaneshwar,9/8/2021,11/8/2021,"4,177"
Hotel Seetal,"₹ 2,208",UNIT- 9 | 9.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 804 Off,4, (Very Good),106,15%,"['Tours and Treks', 'Kids Play Area', 'Free Parking']",Bhubaneshwar,9/8/2021,11/8/2021,"2,208"
Kumud Plaza,"₹ 1,055",Ashok Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 512 Off,4, (Very Good),220,23%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,"1,055"
Collection O 22587 Vastukar Retreat,"₹ 1,413",Old Town | 7.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 349 Off,3.8, (Good),182,20%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,413"
Hotel Suryansh,"₹ 2,954",Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,4.6, (Excellent),109,16%,"['Free Parking', 'Business Centre', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"2,954"
Pal Heights Mantra,"₹ 3,478",Pahala,Exclusive Offer - HDFC Credit Card Users. Get INR 888 Off,4.2, (Very Good),52,51%,"['Free Parking', 'Conference Room', 'Bakery']",Bhubaneshwar,9/8/2021,11/8/2021,"3,478"
Hotel The Presidency Classic,"₹ 1,704",Nayapalli | 7.1 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 620 Off,4.3, (Very Good),147,16%,"['Free Parking', 'Conference Room', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"1,704"
Hotel Urmee,"₹ 1,856",Rasulgarh,Exclusive Offer - HDFC Credit Card Users. Get INR 901 Off,3.7, (Good),209,6%,"['Free Parking', 'Conference Room', 'Vehicle Rentals']",Bhubaneshwar,9/8/2021,11/8/2021,"1,856"
OYO 24789 Sidharth Residency,"₹ 1,322",Patrapada,Exclusive Offer - HDFC Credit Card Users. Get INR 326 Off,3.7, (Good),169,11%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"1,322"
Hotel The Presidency,"₹ 1,704",Nayapalli | 7.1 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 620 Off,3.7, (Good),384,16%,"['Free Parking', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,"1,704"
Hotel Kalinga Ashok,"₹ 1,857",Bapuji Nagar | 7.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 902 Off,4.3, (Very Good),116,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"1,857"
Hotel Eden Roc,"₹ 3,376",Near Bhubaneshwar Train Station | 8.5 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1640 Off,3.4, (Good),905,11%,"['Bar', 'Elevator/Lift', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"3,376"
Hotel Sambit Royale,₹ 856,Ashok Nagar | 800 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 386 Off,3.6, (Good),752,16%,"['Business Centre', 'Conference Room', 'Free Wi-Fi']",Bhubaneshwar,9/8/2021,11/8/2021,856
OYO 14041 Seven Inn,"₹ 1,209",Nayapalli | 7.5 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 298 Off,3.9, (Good),261,16%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"1,209"
Annapurna Inn,₹ 567,Janpath | 620 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 390 Off,3.7, (Good),507,14%,"['Free Parking', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,567
Collection O 30109 Mancheswar Industrial Estate,₹ 984,Sahid Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 243 Off,3.6, (Good),67,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,984
Hotel Grand Central,"₹ 1,942",Near Bhubaneshwar Train Station | 8.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 943 Off,3.4, (Good),364,30%,"['Lounge', 'Free Parking', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"1,942"
Hotel Empires,"₹ 3,545",Sahid Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1722 Off,3.6, (Good),164,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"3,545"
Laughing Buddha Homestay 2,₹ 514,Patia | 970 m from Kalinga Institute of Medical Sciences,Exclusive Offer - HDFC Credit Card Users. Get INR 231 Off,3.6, (Good),1107,16%,"['Free Parking', 'Restaurant', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,514
Hotel Richi,"₹ 1,309",Near Bhubaneshwar Train Station | 100 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 635 Off,3.5, (Good),351,16%,"['Free Parking', 'Bar', 'ATM']",Bhubaneshwar,9/8/2021,11/8/2021,"1,309"
The Suncity,"₹ 1,143",Patrapada | 5.0 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1314 Off,3.5, (Good),166,14%,"['Yoga', 'Indoor Games', 'Kids Play Area']",Bhubaneshwar,9/8/2021,11/8/2021,"1,143"
Capital O 9010 Hotel Railview,"₹ 1,454",Ashok Nagar | 360 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 359 Off,3.9, (Good),54,16%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bhubaneshwar,9/8/2021,11/8/2021,"1,454"
Hotel Nirmal Inn,₹ 665,Ashok Nagar | 860 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 920 Off,3.5, (Good),152,48%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,665
OYO Townhouse 235 Swain Heritage,"₹ 1,455",Jayadev Vihar | 7.9 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,3.3, (Good),154,51%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,455"
Shivangi international,₹ 513,Patia | 890 m from Kalinga Institute of Medical Sciences,Exclusive Offer - HDFC Credit Card Users. Get INR 231 Off,3.5, (Good),257,39%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,513
Sambit Palace Bhubaneswar,₹ 728,Ashok Nagar | 820 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 328 Off,4.4, (Very Good),99,52%,"['Free Parking', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,728
Tranquil Hospitality,₹ 245,Nayapalli | 7.8 km from Biju Patnaik International Airport,,3.3, (Good),223,14%,"['Caretaker', 'Living Room', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,245
Collection O 35655 Hotel Kalinga Bapuji Nagar,"₹ 1,278",Bapuji Nagar | 6.3 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 316 Off,3.9, (Good),186,14%,"['Elevator/Lift', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,278"
Saraswati Retreat,₹ 659,Nayapalli | 6.1 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 911 Off,4.2, (Very Good),207,6%,"['Free Parking', 'Vehicle Rentals', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,659
HOTEL NILAY RESIDENCY,"₹ 1,435",Patia,Exclusive Offer - HDFC Credit Card Users. Get INR 697 Off,3.3, (Good),91,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"1,435"
TRIUMPH INN,₹ 513,Ashok Nagar | 640 m from Bhubaneshwar Railway Station,,4.4, (Very Good),219,51%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,513
Capital O 14489 Hotel Aryan,"₹ 1,594",Patrapada | 7.8 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 394 Off,3.3, (Good),33,28%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"1,594"
Hotel Basera,"₹ 1,435",Ashok Nagar | 610 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 697 Off,4.4, (Very Good),48,14%,"['Kitchenette', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,435"
SilverKey Executive Stays 46859 Ranjan Khandagiri,"₹ 1,520",Khandagiri | 4.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 376 Off,3.9, (Good),77,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,520"
OYO 16631 The Greenstar Inn,"₹ 1,348",Near Bhubaneshwar Airport | 5.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 333 Off,3.8, (Good),18,16%,"['Kitchenette', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,348"
The Kanchan Plaza,"₹ 1,013", | 19.0 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 492 Off,4.3, (Very Good),33,51%,"['Lounge', 'Bonfire', 'Business Centre']",Bhubaneshwar,9/8/2021,11/8/2021,"1,013"
OYO 11946 Greenland Inn,₹ 977,Gajapati Nagar | 1.4 km from Apollo Hospital Heart Institute,Exclusive Offer - HDFC Credit Card Users. Get INR 241 Off,3.6, (Good),171,51%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,977
Hotel Rajdhani Annex,₹ 583,Laxmi Sagar | 8.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 203 Off,,,,16%,"['Room Service', 'Power Backup', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,583
SAPPHIRE PLAZA,"₹ 1,435",Laxmi Sagar | 9.1 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 697 Off,3.8, (Good),37,51%,"['Free Parking', 'Conference Room', 'ATM']",Bhubaneshwar,9/8/2021,11/8/2021,"1,435"
Hotel Arya Palace,"₹ 2,110",Ashok Nagar | 650 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1025 Off,4.1, (Very Good),79,10%,"['Conference Room', 'Elevator/Lift', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"2,110"
OYO 14470 Kalinga Guest House,"₹ 1,212",Patia,Exclusive Offer - HDFC Credit Card Users. Get INR 299 Off,4.1, (Very Good),125,16%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"1,212"
Hotel Suraj Palace,"₹ 2,700",Patia | 490 m from Kalinga Institute of Medical Sciences,Exclusive Offer - HDFC Credit Card Users. Get INR 2093 Off,2.8,,454,16%,"['Conference Room', 'Free Wi-Fi', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"2,700"
Hotel Priya,"₹ 1,517",Kharabela Nagar | 7.4 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 552 Off,3.8, (Good),43,51%,"['Free Wi-Fi', 'Air Conditioning', '24-hour Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,517"
OYO 18722 Sandhya Inn,₹ 932,Pokhariput | 1.5 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 230 Off,3.9, (Good),25,29%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,932
Hotel Sidharth,"₹ 2,007",Nayapalli,Exclusive Offer - HDFC Credit Card Users. Get INR 730 Off,3.9, (Good),166,11%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bhubaneshwar,9/8/2021,11/8/2021,"2,007"
OYO Flagship 77753 Flagship Railway Station Square,"₹ 1,342",Laxmi Sagar | 8.2 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 332 Off,2.1,,31,51%,"['Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,342"
THE TARA RESIDENCY,"₹ 1,274",Near Bhubaneshwar Train Station | 300 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 792 Off,3.8, (Good),197,20%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"1,274"
OYO 10800 Ma Homestay,₹ 917,Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 226 Off,3.3, (Good),130,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,917
Venus Next,₹ 796,Bapuji Nagar | 6.9 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 941 Off,3.6, (Good),75,20%,"['Butler Services', 'Indoor Games', 'Kids Play Area']",Bhubaneshwar,9/8/2021,11/8/2021,796
The Golden Magnolia Homestay,₹ 564,Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 144 Off,3.3, (Good),27,51%,"['Kitchenette', 'Caretaker', 'Living Room']",Bhubaneshwar,9/8/2021,11/8/2021,564
HOTEL 7SAAT,"₹ 1,520",Patia,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,3.3, (Good),25,35%,"['Free Parking', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,"1,520"
BJ's By the Way Tandoor Delight,"₹ 2,279",Chandrasekharpur | 3.0 km from Kalinga Institute of Medical Sciences,Exclusive Offer - HDFC Credit Card Users. Get INR 1107 Off,5, (Excellent),6,53%,"['Kids Play Area', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,"2,279"
Hotel Richi Regency,"₹ 1,215",Nayapalli | 7.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 590 Off,3.9, (Good),38,16%,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Bhubaneshwar,9/8/2021,11/8/2021,"1,215"
Collection O 19529 Hotel Bhinna Sakala,"₹ 1,235",Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 305 Off,3.4, (Good),41,16%,"['Free Wi-Fi', 'Kitchenette', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,235"
Hotel Lingaraj Bhubaneswar,"₹ 1,520",Laxmi Sagar | 8.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 738 Off,4.6, (Excellent),17,32%,"['Free Parking', 'Conference Room', 'Bar']",Bhubaneshwar,9/8/2021,11/8/2021,"1,520"
Hotel Keshari,"₹ 1,080",Kharabela Nagar | 300 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 275 Off,3.9, (Good),79,51%,"['Lounge', 'Butler Services', 'Tours and Treks']",Bhubaneshwar,9/8/2021,11/8/2021,"1,080"
JSB Rooms Patia,₹ 422,Patia,,3.2, (Good),39,16%,"['Free Parking', 'Room Service', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,422
White Residency,₹ 556,Jharapada,Exclusive Offer - HDFC Credit Card Users. Get INR 250 Off,2.6,,63,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,556
OYO Flagship 75122 Raydission Inn,"₹ 1,082",Kharabela Nagar | 840 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 267 Off,2.1,,10,19%,"['Elevator/Lift', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,082"
HOTEL SAI AMRIT RESIDENCY,"₹ 1,769",Near Bhubaneshwar Train Station | 380 m from Bhubaneshwar Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 858 Off,3.2, (Good),178,14%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,769"
OYO 17276 The Maple Tree Hotels,"₹ 1,289",Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 318 Off,4, (Very Good),2,51%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,"1,289"
OYO 15504 Maa Banadurga Guest House,"₹ 1,195",Jharapada,Exclusive Offer - HDFC Credit Card Users. Get INR 295 Off,2.6,,78,16%,"['Free Wi-Fi', 'Kitchenette', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"1,195"
SOUTHCITY,₹ 988,Patrapada,Exclusive Offer - HDFC Credit Card Users. Get INR 613 Off,3.5, (Good),55,51%,"['Free Parking', 'Bar', 'Elevator/Lift']",Bhubaneshwar,9/8/2021,11/8/2021,988
OYO 8741 Shree Jagannath Palace,"₹ 1,379",Gajapati Nagar | 1.7 km from Apollo Hospital Heart Institute,Exclusive Offer - HDFC Credit Card Users. Get INR 341 Off,3.9, (Good),28,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,379"
Park Resort,"₹ 1,103",Kalpana Square | 7.9 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1268 Off,3.6, (Good),5,27%,"['Conference Room', 'ATM', 'Free Wi-Fi']",Bhubaneshwar,9/8/2021,11/8/2021,"1,103"
Hotel Atmaram,₹ 810,Nayapalli | 8.7 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 688 Off,3.5, (Good),17,51%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,810
Biraj Hotels,₹ 617,Khandagiri | 2.9 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 277 Off,3.2, (Good),78,45%,"['Outdoor Sports', 'Free Parking', 'Free Shuttle Service']",Bhubaneshwar,9/8/2021,11/8/2021,617
OYO 11631 Sai Sagar Residency,"₹ 1,082",Janpath,Exclusive Offer - HDFC Credit Card Users. Get INR 267 Off,3.4, (Good),13,26%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,"1,082"
Capital O 11408 Hotel Sai Jagannath,"₹ 1,855",Patrapada | 8.0 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 458 Off,3, (Good),15,14%,"['Conference Room', 'Free Wi-Fi', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,"1,855"
B & B A bed and breakfast,₹ 799,Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 203 Off,3.2, (Good),150,51%,"['Kitchenette', 'Caretaker', 'Living Room']",Bhubaneshwar,9/8/2021,11/8/2021,799
Capital O 61048 Lazystay Grand,"₹ 1,699",Patia,Exclusive Offer - HDFC Credit Card Users. Get INR 420 Off,3.7, (Good),148,51%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"1,699"
OYO 16363 Advik Cottage,"₹ 1,422",Bharatpur | 6.3 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 351 Off,4.1, (Very Good),87,6%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,422"
OYO Townhouse 203 Mancheswar,"₹ 1,180",Mancheswar Industrial Estate,Exclusive Offer - HDFC Credit Card Users. Get INR 291 Off,4, (Very Good),5,51%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,180"
OYO 10493 MS Residency,"₹ 1,234",Patia,Exclusive Offer - HDFC Credit Card Users. Get INR 305 Off,3.2, (Good),41,51%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,"1,234"
Venus inn,"₹ 1,517",Bapuji Nagar | 7.0 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 552 Off,4.3, (Very Good),21,51%,"['Free Parking', 'Restaurant', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,"1,517"
OTDC Panthanivas,"₹ 2,820",Old Town | 7.2 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,3.4, (Good),45,51%,"['Conference Room', 'Elevator/Lift', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"2,820"
CASA Residency,₹ 783,Kharabela Nagar | 7.8 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 926 Off,3.7, (Good),162,11%,"['Free Wi-Fi', 'Free Parking', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,783
OYO 10512 Shivaas Royal,"₹ 1,314",Chandrasekharpur,Exclusive Offer - HDFC Credit Card Users. Get INR 324 Off,4, (Very Good),2,6%,"['Free Parking', 'Free Wi-Fi', 'Air Conditioning']",Bhubaneshwar,9/8/2021,11/8/2021,"1,314"
Silver Key Executive Stays 60474 My Homes & Hotels,"₹ 1,480",Kalinga Nagar | 5.5 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 366 Off,3.6, (Good),49,35%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bhubaneshwar,9/8/2021,11/8/2021,"1,480"
Collection O 75388 Red Velvet Premium,"₹ 1,298",,Exclusive Offer - HDFC Credit Card Users. Get INR 321 Off,4.3, (Very Good),19,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,298"
Hotel The Sutrupti,₹ 745,Bhauma Nagar | 6.6 km from Biju Patnaik International Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 335 Off,3.5, (Good),2,51%,"['Outdoor Sports', 'Free Parking', 'Conference Room']",Bhubaneshwar,9/8/2021,11/8/2021,745
OYO 24739 Ap Guest House,"₹ 1,528",Patia,Exclusive Offer - HDFC Credit Card Users. Get INR 377 Off,3.5, (Good),6,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bhubaneshwar,9/8/2021,11/8/2021,"1,528"
OYO 27602 Hotel Green Space,"₹ 1,547",Patia | 370 m from Kalinga Institute of Medical Sciences,Exclusive Offer - HDFC Credit Card Users. Get INR 382 Off,3.9, (Good),116,14%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bhubaneshwar,9/8/2021,11/8/2021,"1,547"
