Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
Empire International Koramangala,"₹ 1,284",Koramangala | 890 m from Forum Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 327 Off,3.8, (Good),53,51%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,284"
"Howard Johnson by Wyndham, Hebbal","₹ 3,290",Near Manyata Tech Park | 1.6 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 840 Off,3.9, (Good),348,15%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"3,290"
Taj Bangalore,"₹ 8,000",Bangalore Airport | 36.6 km from city centre1.7 km from Kempegowda Airport,HDFC Credit Card Offer. Get INR 2400 Off & INR 500 TAJ Gift Card,3.7, (Good),1116,16%,"['Yoga', 'Lounge', 'Butler Services']",Bangalore,9/8/2021,11/8/2021,"8,000"
Sai Vishram Business Hotel,"₹ 2,820",Bommasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 720 Off,3.7, (Good),1105,34%,"['Free Parking', 'Conference Room', 'Bakery']",Bangalore,9/8/2021,11/8/2021,"2,820"
Capital O 1324 Royal Inchara,"₹ 1,089",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 269 Off,4, (Very Good),671,6%,"['Air Conditioning', 'Room Service', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,089"
OYO 15270 Atithi Residency,"₹ 1,318",Attibele | 32.1 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 325 Off,4.6, (Excellent),640,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,318"
Icon Boutique Hotel by Bhagini,"₹ 1,532",Domlur Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 952 Off,4.1, (Very Good),245,6%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,532"
Oakwood Premier Prestige Bangalore,"₹ 5,185",Ashok Nagar | 3.8 km from Kempegowda Bus Station,,4, (Very Good),42,51%,"['Yoga', 'Lounge', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"5,185"
The Rialto Hotel,"₹ 1,422",Gandhi Nagar | 1.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 884 Off,4, (Very Good),17,51%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,422"
"Vivanta Bengaluru, Whitefield","₹ 2,700",Kundalahalli Gate road,HDFC Credit Card Offer. Get INR 810 Off & INR 500 TAJ Gift Card,4.1, (Very Good),242,39%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,700"
The Royal Comfort,"₹ 1,837",Jayanagar | 3.3 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 1885 Off,4.3, (Very Good),208,15%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,837"
"Zone By The Park, Electronic City","₹ 2,115",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 540 Off,4.3, (Very Good),363,20%,"['Lounge', 'Tours and Treks', 'Indoor Games']",Bangalore,9/8/2021,11/8/2021,"2,115"
MySpace Hotels Silverstar,"₹ 1,224",Gandhi Nagar | 1.6 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 761 Off,4.4, (Very Good),308,40%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,224"
Shivas Gateway,"₹ 2,020",Yerthiganahalli | 28.5 km from city centre7.9 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 1565 Off,3.9, (Good),518,48%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"2,020"
